MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20241231,45083,Spartanburg County,SC,17.42,82.58,0.00,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20241224,45083,Spartanburg County,SC,0.00,100.00,0.00,0.00,0.00,0.00,2024-12-24,2024-12-30,1
20241217,45083,Spartanburg County,SC,0.00,100.00,0.00,0.00,0.00,0.00,2024-12-17,2024-12-23,1
20241210,45083,Spartanburg County,SC,0.00,100.00,22.14,0.00,0.00,0.00,2024-12-10,2024-12-16,1
20241203,45083,Spartanburg County,SC,0.00,100.00,14.39,0.00,0.00,0.00,2024-12-03,2024-12-09,1
20241126,45083,Spartanburg County,SC,0.00,100.00,0.00,0.00,0.00,0.00,2024-11-26,2024-12-02,1
20241119,45083,Spartanburg County,SC,0.00,100.00,0.00,0.00,0.00,0.00,2024-11-19,2024-11-25,1
20241112,45083,Spartanburg County,SC,0.00,100.00,0.00,0.00,0.00,0.00,2024-11-12,2024-11-18,1
20241105,45083,Spartanburg County,SC,0.00,100.00,0.00,0.00,0.00,0.00,2024-11-05,2024-11-11,1
20241029,45083,Spartanburg County,SC,0.00,100.00,0.00,0.00,0.00,0.00,2024-10-29,2024-11-04,1
20241022,45083,Spartanburg County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-10-22,2024-10-28,1
20241015,45083,Spartanburg County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-10-15,2024-10-21,1
20241008,45083,Spartanburg County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-10-08,2024-10-14,1
20241001,45083,Spartanburg County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-10-01,2024-10-07,1
20240924,45083,Spartanburg County,SC,43.18,56.82,0.00,0.00,0.00,0.00,2024-09-24,2024-09-30,1
20240917,45083,Spartanburg County,SC,79.52,20.48,0.00,0.00,0.00,0.00,2024-09-17,2024-09-23,1
20240910,45083,Spartanburg County,SC,78.34,21.66,0.00,0.00,0.00,0.00,2024-09-10,2024-09-16,1
20240903,45083,Spartanburg County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-09-03,2024-09-09,1
20240827,45083,Spartanburg County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-08-27,2024-09-02,1
20240820,45083,Spartanburg County,SC,99.48,0.52,0.00,0.00,0.00,0.00,2024-08-20,2024-08-26,1
20240813,45083,Spartanburg County,SC,83.19,16.81,0.00,0.00,0.00,0.00,2024-08-13,2024-08-19,1
20240806,45083,Spartanburg County,SC,16.02,83.98,0.12,0.00,0.00,0.00,2024-08-06,2024-08-12,1
20240730,45083,Spartanburg County,SC,0.00,100.00,53.22,0.11,0.00,0.00,2024-07-30,2024-08-05,1
20240723,45083,Spartanburg County,SC,0.00,100.00,55.27,0.23,0.00,0.00,2024-07-23,2024-07-29,1
20240716,45083,Spartanburg County,SC,0.00,100.00,61.93,0.23,0.00,0.00,2024-07-16,2024-07-22,1
20240709,45083,Spartanburg County,SC,0.00,100.00,61.63,0.23,0.00,0.00,2024-07-09,2024-07-15,1
20240702,45083,Spartanburg County,SC,0.00,100.00,59.37,0.23,0.00,0.00,2024-07-02,2024-07-08,1
20240625,45083,Spartanburg County,SC,0.00,100.00,5.00,0.00,0.00,0.00,2024-06-25,2024-07-01,1
20240618,45083,Spartanburg County,SC,95.00,5.00,0.00,0.00,0.00,0.00,2024-06-18,2024-06-24,1
20240611,45083,Spartanburg County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-06-11,2024-06-17,1
20240604,45083,Spartanburg County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-06-04,2024-06-10,1
20240528,45083,Spartanburg County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-28,2024-06-03,1
20240521,45083,Spartanburg County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-21,2024-05-27,1
20240514,45083,Spartanburg County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-14,2024-05-20,1
20240507,45083,Spartanburg County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-07,2024-05-13,1
20240430,45083,Spartanburg County,SC,18.73,81.27,0.00,0.00,0.00,0.00,2024-04-30,2024-05-06,1
20240423,45083,Spartanburg County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-23,2024-04-29,1
20240416,45083,Spartanburg County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-16,2024-04-22,1
20240409,45083,Spartanburg County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-09,2024-04-15,1
20240402,45083,Spartanburg County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-02,2024-04-08,1
20240326,45083,Spartanburg County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-03-26,2024-04-01,1
20240319,45083,Spartanburg County,SC,100.00,0.00,0.00,0.00,0.00,0.00,2024-03-19,2024-03-25,1
