MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20241231,47143,Rhea County,TN,0.00,100.00,100.00,100.00,95.58,0.00,2024-12-31,2025-01-06,1
20241224,47143,Rhea County,TN,0.00,100.00,100.00,100.00,95.58,0.00,2024-12-24,2024-12-30,1
20241217,47143,Rhea County,TN,0.00,100.00,100.00,100.00,95.58,0.00,2024-12-17,2024-12-23,1
20241210,47143,Rhea County,TN,0.00,100.00,100.00,100.00,0.00,0.00,2024-12-10,2024-12-16,1
20241203,47143,Rhea County,TN,0.00,100.00,100.00,100.00,0.00,0.00,2024-12-03,2024-12-09,1
20241126,47143,Rhea County,TN,0.00,100.00,100.00,98.41,0.00,0.00,2024-11-26,2024-12-02,1
20241119,47143,Rhea County,TN,0.00,100.00,100.00,98.41,0.00,0.00,2024-11-19,2024-11-25,1
20241112,47143,Rhea County,TN,0.00,100.00,100.00,60.88,0.00,0.00,2024-11-12,2024-11-18,1
20241105,47143,Rhea County,TN,0.00,100.00,100.00,58.65,0.00,0.00,2024-11-05,2024-11-11,1
20241029,47143,Rhea County,TN,0.00,100.00,100.00,58.65,0.00,0.00,2024-10-29,2024-11-04,1
20241022,47143,Rhea County,TN,0.00,100.00,100.00,58.65,0.00,0.00,2024-10-22,2024-10-28,1
20241015,47143,Rhea County,TN,0.00,100.00,100.00,58.65,0.00,0.00,2024-10-15,2024-10-21,1
20241008,47143,Rhea County,TN,0.00,100.00,100.00,58.65,0.00,0.00,2024-10-08,2024-10-14,1
20241001,47143,Rhea County,TN,0.00,100.00,100.00,0.00,0.00,0.00,2024-10-01,2024-10-07,1
20240924,47143,Rhea County,TN,0.00,100.00,100.00,100.00,100.00,0.00,2024-09-24,2024-09-30,1
20240917,47143,Rhea County,TN,0.00,100.00,100.00,100.00,100.00,0.00,2024-09-17,2024-09-23,1
20240910,47143,Rhea County,TN,0.00,100.00,100.00,100.00,0.00,0.00,2024-09-10,2024-09-16,1
20240903,47143,Rhea County,TN,0.00,100.00,100.00,2.33,0.00,0.00,2024-09-03,2024-09-09,1
20240827,47143,Rhea County,TN,0.00,100.00,100.00,0.00,0.00,0.00,2024-08-27,2024-09-02,1
20240820,47143,Rhea County,TN,0.00,100.00,28.66,0.00,0.00,0.00,2024-08-20,2024-08-26,1
20240813,47143,Rhea County,TN,0.00,100.00,28.66,0.00,0.00,0.00,2024-08-13,2024-08-19,1
20240806,47143,Rhea County,TN,0.00,100.00,23.59,0.00,0.00,0.00,2024-08-06,2024-08-12,1
20240730,47143,Rhea County,TN,0.00,100.00,100.00,23.32,0.00,0.00,2024-07-30,2024-08-05,1
20240723,47143,Rhea County,TN,0.00,100.00,100.00,100.00,0.00,0.00,2024-07-23,2024-07-29,1
20240716,47143,Rhea County,TN,0.00,100.00,100.00,100.00,0.00,0.00,2024-07-16,2024-07-22,1
20240709,47143,Rhea County,TN,0.00,100.00,100.00,100.00,0.00,0.00,2024-07-09,2024-07-15,1
20240702,47143,Rhea County,TN,0.00,100.00,100.00,0.00,0.00,0.00,2024-07-02,2024-07-08,1
20240625,47143,Rhea County,TN,0.00,100.00,0.00,0.00,0.00,0.00,2024-06-25,2024-07-01,1
20240618,47143,Rhea County,TN,100.00,0.00,0.00,0.00,0.00,0.00,2024-06-18,2024-06-24,1
20240611,47143,Rhea County,TN,100.00,0.00,0.00,0.00,0.00,0.00,2024-06-11,2024-06-17,1
20240604,47143,Rhea County,TN,100.00,0.00,0.00,0.00,0.00,0.00,2024-06-04,2024-06-10,1
20240528,47143,Rhea County,TN,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-28,2024-06-03,1
20240521,47143,Rhea County,TN,90.62,9.38,0.00,0.00,0.00,0.00,2024-05-21,2024-05-27,1
20240514,47143,Rhea County,TN,26.48,73.52,8.77,0.00,0.00,0.00,2024-05-14,2024-05-20,1
20240507,47143,Rhea County,TN,23.59,76.41,9.17,0.00,0.00,0.00,2024-05-07,2024-05-13,1
20240430,47143,Rhea County,TN,0.38,99.62,9.17,0.00,0.00,0.00,2024-04-30,2024-05-06,1
20240423,47143,Rhea County,TN,90.83,9.17,0.00,0.00,0.00,0.00,2024-04-23,2024-04-29,1
20240416,47143,Rhea County,TN,91.73,8.27,0.00,0.00,0.00,0.00,2024-04-16,2024-04-22,1
20240409,47143,Rhea County,TN,37.84,62.16,0.00,0.00,0.00,0.00,2024-04-09,2024-04-15,1
20240402,47143,Rhea County,TN,100.00,0.00,0.00,0.00,0.00,0.00,2024-04-02,2024-04-08,1
20240326,47143,Rhea County,TN,100.00,0.00,0.00,0.00,0.00,0.00,2024-03-26,2024-04-01,1
20240319,47143,Rhea County,TN,100.00,0.00,0.00,0.00,0.00,0.00,2024-03-19,2024-03-25,1
20240312,47143,Rhea County,TN,0.00,100.00,0.00,0.00,0.00,0.00,2024-03-12,2024-03-18,1
20240305,47143,Rhea County,TN,0.00,100.00,0.00,0.00,0.00,0.00,2024-03-05,2024-03-11,1
20240227,47143,Rhea County,TN,0.00,100.00,0.00,0.00,0.00,0.00,2024-02-27,2024-03-04,1
20240220,47143,Rhea County,TN,100.00,0.00,0.00,0.00,0.00,0.00,2024-02-20,2024-02-26,1
20240213,47143,Rhea County,TN,100.00,0.00,0.00,0.00,0.00,0.00,2024-02-13,2024-02-19,1
20240206,47143,Rhea County,TN,99.96,0.04,0.00,0.00,0.00,0.00,2024-02-06,2024-02-12,1
20240130,47143,Rhea County,TN,99.96,0.04,0.00,0.00,0.00,0.00,2024-01-30,2024-02-05,1
20240123,47143,Rhea County,TN,64.84,35.16,0.00,0.00,0.00,0.00,2024-01-23,2024-01-29,1
20240116,47143,Rhea County,TN,0.00,100.00,33.36,0.00,0.00,0.00,2024-01-16,2024-01-22,1
20240109,47143,Rhea County,TN,0.00,100.00,99.30,33.36,0.00,0.00,2024-01-09,2024-01-15,1
20240102,47143,Rhea County,TN,0.00,100.00,99.30,33.36,0.00,0.00,2024-01-02,2024-01-08,1
20231226,47143,Rhea County,TN,0.00,100.00,100.00,56.12,7.08,0.00,2023-12-26,2024-01-01,1
20231219,47143,Rhea County,TN,0.00,100.00,100.00,78.22,7.08,0.00,2023-12-19,2023-12-25,1
20231212,47143,Rhea County,TN,0.00,100.00,100.00,100.00,48.16,0.00,2023-12-12,2023-12-18,1
20231205,47143,Rhea County,TN,0.00,100.00,100.00,100.00,46.60,0.00,2023-12-05,2023-12-11,1
20231128,47143,Rhea County,TN,0.00,100.00,100.00,100.00,100.00,0.00,2023-11-28,2023-12-04,1
20231121,47143,Rhea County,TN,0.00,100.00,100.00,100.00,100.00,88.05,2023-11-21,2023-11-27,1
20231114,47143,Rhea County,TN,0.00,100.00,100.00,100.00,100.00,87.68,2023-11-14,2023-11-20,1
20231107,47143,Rhea County,TN,0.00,100.00,100.00,100.00,100.00,0.00,2023-11-07,2023-11-13,1
20231031,47143,Rhea County,TN,0.00,100.00,100.00,100.00,100.00,0.00,2023-10-31,2023-11-06,1
