MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20241231,28019,Choctaw County,MS,0.00,100.00,1.00,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20241224,28019,Choctaw County,MS,0.00,100.00,1.00,0.00,0.00,0.00,2024-12-24,2024-12-30,1
20241217,28019,Choctaw County,MS,0.00,100.00,1.00,0.00,0.00,0.00,2024-12-17,2024-12-23,1
20241210,28019,Choctaw County,MS,0.00,100.00,1.00,0.00,0.00,0.00,2024-12-10,2024-12-16,1
20241203,28019,Choctaw County,MS,0.00,100.00,1.00,0.00,0.00,0.00,2024-12-03,2024-12-09,1
20241126,28019,Choctaw County,MS,0.00,100.00,0.63,0.00,0.00,0.00,2024-11-26,2024-12-02,1
20241119,28019,Choctaw County,MS,0.00,100.00,0.63,0.00,0.00,0.00,2024-11-19,2024-11-25,1
20241112,28019,Choctaw County,MS,0.00,100.00,100.00,0.00,0.00,0.00,2024-11-12,2024-11-18,1
20241105,28019,Choctaw County,MS,0.00,100.00,100.00,0.00,0.00,0.00,2024-11-05,2024-11-11,1
20241029,28019,Choctaw County,MS,0.00,100.00,100.00,0.00,0.00,0.00,2024-10-29,2024-11-04,1
20241022,28019,Choctaw County,MS,0.00,100.00,100.00,0.00,0.00,0.00,2024-10-22,2024-10-28,1
20241015,28019,Choctaw County,MS,0.00,100.00,100.00,0.00,0.00,0.00,2024-10-15,2024-10-21,1
20241008,28019,Choctaw County,MS,0.00,100.00,100.00,0.00,0.00,0.00,2024-10-08,2024-10-14,1
20241001,28019,Choctaw County,MS,0.00,100.00,100.00,0.00,0.00,0.00,2024-10-01,2024-10-07,1
20240924,28019,Choctaw County,MS,0.00,100.00,100.00,5.70,0.00,0.00,2024-09-24,2024-09-30,1
20240917,28019,Choctaw County,MS,0.00,100.00,100.00,5.70,0.00,0.00,2024-09-17,2024-09-23,1
20240910,28019,Choctaw County,MS,0.00,100.00,100.00,100.00,0.00,0.00,2024-09-10,2024-09-16,1
20240903,28019,Choctaw County,MS,0.00,100.00,100.00,100.00,0.00,0.00,2024-09-03,2024-09-09,1
20240827,28019,Choctaw County,MS,0.00,100.00,100.00,100.00,0.00,0.00,2024-08-27,2024-09-02,1
20240820,28019,Choctaw County,MS,0.00,100.00,100.00,0.00,0.00,0.00,2024-08-20,2024-08-26,1
20240813,28019,Choctaw County,MS,0.00,100.00,0.00,0.00,0.00,0.00,2024-08-13,2024-08-19,1
