MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20241231,27153,Todd County,MN,0.00,100.00,28.29,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20241224,27153,Todd County,MN,0.00,100.00,28.29,0.00,0.00,0.00,2024-12-24,2024-12-30,1
20241217,27153,Todd County,MN,0.00,100.00,28.29,0.00,0.00,0.00,2024-12-17,2024-12-23,1
20241210,27153,Todd County,MN,0.00,100.00,29.22,0.00,0.00,0.00,2024-12-10,2024-12-16,1
20241203,27153,Todd County,MN,0.00,100.00,29.22,0.00,0.00,0.00,2024-12-03,2024-12-09,1
20241126,27153,Todd County,MN,0.00,100.00,29.22,0.00,0.00,0.00,2024-11-26,2024-12-02,1
20241119,27153,Todd County,MN,0.00,100.00,29.18,0.00,0.00,0.00,2024-11-19,2024-11-25,1
20241112,27153,Todd County,MN,0.00,100.00,100.00,28.07,0.00,0.00,2024-11-12,2024-11-18,1
20241105,27153,Todd County,MN,0.00,100.00,100.00,27.22,0.00,0.00,2024-11-05,2024-11-11,1
20241029,27153,Todd County,MN,0.00,100.00,100.00,26.84,0.00,0.00,2024-10-29,2024-11-04,1
20241022,27153,Todd County,MN,0.00,100.00,100.00,13.10,0.00,0.00,2024-10-22,2024-10-28,1
20241015,27153,Todd County,MN,0.00,100.00,51.98,0.00,0.00,0.00,2024-10-15,2024-10-21,1
20241008,27153,Todd County,MN,0.00,100.00,52.89,0.00,0.00,0.00,2024-10-08,2024-10-14,1
20241001,27153,Todd County,MN,0.00,100.00,50.86,0.00,0.00,0.00,2024-10-01,2024-10-07,1
20240924,27153,Todd County,MN,0.00,100.00,0.00,0.00,0.00,0.00,2024-09-24,2024-09-30,1
20240917,27153,Todd County,MN,98.92,1.08,0.00,0.00,0.00,0.00,2024-09-17,2024-09-23,1
20240910,27153,Todd County,MN,98.92,1.08,0.00,0.00,0.00,0.00,2024-09-10,2024-09-16,1
20240903,27153,Todd County,MN,100.00,0.00,0.00,0.00,0.00,0.00,2024-09-03,2024-09-09,1
20240827,27153,Todd County,MN,100.00,0.00,0.00,0.00,0.00,0.00,2024-08-27,2024-09-02,1
20240820,27153,Todd County,MN,100.00,0.00,0.00,0.00,0.00,0.00,2024-08-20,2024-08-26,1
20240813,27153,Todd County,MN,100.00,0.00,0.00,0.00,0.00,0.00,2024-08-13,2024-08-19,1
20240806,27153,Todd County,MN,100.00,0.00,0.00,0.00,0.00,0.00,2024-08-06,2024-08-12,1
20240730,27153,Todd County,MN,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-30,2024-08-05,1
20240723,27153,Todd County,MN,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-23,2024-07-29,1
20240716,27153,Todd County,MN,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-16,2024-07-22,1
20240709,27153,Todd County,MN,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-09,2024-07-15,1
20240702,27153,Todd County,MN,100.00,0.00,0.00,0.00,0.00,0.00,2024-07-02,2024-07-08,1
20240625,27153,Todd County,MN,100.00,0.00,0.00,0.00,0.00,0.00,2024-06-25,2024-07-01,1
20240618,27153,Todd County,MN,100.00,0.00,0.00,0.00,0.00,0.00,2024-06-18,2024-06-24,1
20240611,27153,Todd County,MN,100.00,0.00,0.00,0.00,0.00,0.00,2024-06-11,2024-06-17,1
20240604,27153,Todd County,MN,100.00,0.00,0.00,0.00,0.00,0.00,2024-06-04,2024-06-10,1
20240528,27153,Todd County,MN,100.00,0.00,0.00,0.00,0.00,0.00,2024-05-28,2024-06-03,1
20240521,27153,Todd County,MN,64.94,35.06,0.00,0.00,0.00,0.00,2024-05-21,2024-05-27,1
20240514,27153,Todd County,MN,64.94,35.06,0.00,0.00,0.00,0.00,2024-05-14,2024-05-20,1
20240507,27153,Todd County,MN,64.85,35.15,0.00,0.00,0.00,0.00,2024-05-07,2024-05-13,1
20240430,27153,Todd County,MN,36.07,63.93,35.15,0.00,0.00,0.00,2024-04-30,2024-05-06,1
20240423,27153,Todd County,MN,0.00,100.00,56.55,0.03,0.00,0.00,2024-04-23,2024-04-29,1
20240416,27153,Todd County,MN,0.00,100.00,95.54,0.03,0.00,0.00,2024-04-16,2024-04-22,1
20240409,27153,Todd County,MN,0.00,100.00,95.54,0.03,0.00,0.00,2024-04-09,2024-04-15,1
20240402,27153,Todd County,MN,0.00,100.00,95.54,0.03,0.00,0.00,2024-04-02,2024-04-08,1
20240326,27153,Todd County,MN,0.00,100.00,95.54,0.03,0.00,0.00,2024-03-26,2024-04-01,1
20240319,27153,Todd County,MN,0.00,100.00,99.14,0.03,0.00,0.00,2024-03-19,2024-03-25,1
20240312,27153,Todd County,MN,0.00,100.00,99.14,0.03,0.00,0.00,2024-03-12,2024-03-18,1
20240305,27153,Todd County,MN,0.00,100.00,91.80,0.03,0.00,0.00,2024-03-05,2024-03-11,1
20240227,27153,Todd County,MN,0.00,100.00,91.80,0.03,0.00,0.00,2024-02-27,2024-03-04,1
20240220,27153,Todd County,MN,0.00,100.00,91.80,0.03,0.00,0.00,2024-02-20,2024-02-26,1
20240213,27153,Todd County,MN,0.00,100.00,91.80,0.03,0.00,0.00,2024-02-13,2024-02-19,1
20240206,27153,Todd County,MN,0.00,100.00,91.80,0.03,0.00,0.00,2024-02-06,2024-02-12,1
20240130,27153,Todd County,MN,0.00,100.00,91.80,0.03,0.00,0.00,2024-01-30,2024-02-05,1
20240123,27153,Todd County,MN,0.00,100.00,91.80,0.03,0.00,0.00,2024-01-23,2024-01-29,1
20240116,27153,Todd County,MN,0.00,100.00,91.80,0.03,0.00,0.00,2024-01-16,2024-01-22,1
20240109,27153,Todd County,MN,0.00,100.00,91.80,0.03,0.00,0.00,2024-01-09,2024-01-15,1
20240102,27153,Todd County,MN,0.00,100.00,91.80,0.03,0.00,0.00,2024-01-02,2024-01-08,1
20231226,27153,Todd County,MN,0.00,100.00,91.80,0.03,0.00,0.00,2023-12-26,2024-01-01,1
20231219,27153,Todd County,MN,0.00,100.00,99.44,91.84,0.00,0.00,2023-12-19,2023-12-25,1
20231212,27153,Todd County,MN,0.00,100.00,99.44,91.84,0.00,0.00,2023-12-12,2023-12-18,1
20231205,27153,Todd County,MN,0.00,100.00,99.44,91.84,0.00,0.00,2023-12-05,2023-12-11,1
20231128,27153,Todd County,MN,0.00,100.00,99.44,91.84,0.00,0.00,2023-11-28,2023-12-04,1
20231121,27153,Todd County,MN,0.00,100.00,99.51,91.84,0.00,0.00,2023-11-21,2023-11-27,1
20231114,27153,Todd County,MN,0.00,100.00,99.51,91.84,0.00,0.00,2023-11-14,2023-11-20,1
20231107,27153,Todd County,MN,0.00,100.00,99.51,91.84,0.00,0.00,2023-11-07,2023-11-13,1
20231031,27153,Todd County,MN,0.00,100.00,99.58,91.84,0.00,0.00,2023-10-31,2023-11-06,1
20231024,27153,Todd County,MN,0.00,100.00,100.00,90.09,0.00,0.00,2023-10-24,2023-10-30,1
20231017,27153,Todd County,MN,0.00,100.00,100.00,90.09,0.00,0.00,2023-10-17,2023-10-23,1
20231010,27153,Todd County,MN,0.00,100.00,100.00,90.23,0.00,0.00,2023-10-10,2023-10-16,1
20231003,27153,Todd County,MN,0.00,100.00,100.00,90.23,0.00,0.00,2023-10-03,2023-10-09,1
20230926,27153,Todd County,MN,0.00,100.00,100.00,90.23,0.00,0.00,2023-09-26,2023-10-02,1
20230919,27153,Todd County,MN,0.00,100.00,100.00,92.12,20.58,0.00,2023-09-19,2023-09-25,1
20230912,27153,Todd County,MN,0.00,100.00,100.00,92.12,20.58,0.00,2023-09-12,2023-09-18,1
20230905,27153,Todd County,MN,0.00,100.00,100.00,92.12,5.54,0.00,2023-09-05,2023-09-11,1
20230829,27153,Todd County,MN,0.00,100.00,100.00,55.11,0.53,0.00,2023-08-29,2023-09-04,1
20230822,27153,Todd County,MN,0.00,100.00,100.00,54.80,0.00,0.00,2023-08-22,2023-08-28,1
20230815,27153,Todd County,MN,0.00,100.00,100.00,6.86,0.00,0.00,2023-08-15,2023-08-21,1
20230808,27153,Todd County,MN,0.00,100.00,100.00,85.27,0.00,0.00,2023-08-08,2023-08-14,1
20230801,27153,Todd County,MN,0.00,100.00,100.00,85.27,0.00,0.00,2023-08-01,2023-08-07,1
20230725,27153,Todd County,MN,0.00,100.00,100.00,85.27,0.00,0.00,2023-07-25,2023-07-31,1
20230718,27153,Todd County,MN,0.00,100.00,100.00,0.00,0.00,0.00,2023-07-18,2023-07-24,1
20230711,27153,Todd County,MN,0.00,100.00,100.00,0.00,0.00,0.00,2023-07-11,2023-07-17,1
20230704,27153,Todd County,MN,0.00,100.00,100.00,0.00,0.00,0.00,2023-07-04,2023-07-10,1
20230627,27153,Todd County,MN,0.00,100.00,100.00,0.00,0.00,0.00,2023-06-27,2023-07-03,1
20230620,27153,Todd County,MN,0.00,100.00,100.00,0.00,0.00,0.00,2023-06-20,2023-06-26,1
20230613,27153,Todd County,MN,0.00,100.00,16.91,0.00,0.00,0.00,2023-06-13,2023-06-19,1
20230606,27153,Todd County,MN,0.00,100.00,11.81,0.00,0.00,0.00,2023-06-06,2023-06-12,1
20230530,27153,Todd County,MN,12.24,87.76,0.00,0.00,0.00,0.00,2023-05-30,2023-06-05,1
20230523,27153,Todd County,MN,100.00,0.00,0.00,0.00,0.00,0.00,2023-05-23,2023-05-29,1
20230516,27153,Todd County,MN,100.00,0.00,0.00,0.00,0.00,0.00,2023-05-16,2023-05-22,1
20230509,27153,Todd County,MN,84.69,15.31,0.00,0.00,0.00,0.00,2023-05-09,2023-05-15,1
20230502,27153,Todd County,MN,84.69,15.31,0.00,0.00,0.00,0.00,2023-05-02,2023-05-08,1
20230425,27153,Todd County,MN,84.69,15.31,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,1
20230418,27153,Todd County,MN,84.69,15.31,0.00,0.00,0.00,0.00,2023-04-18,2023-04-24,1
20230411,27153,Todd County,MN,84.69,15.31,0.00,0.00,0.00,0.00,2023-04-11,2023-04-17,1
20230404,27153,Todd County,MN,82.18,17.82,0.00,0.00,0.00,0.00,2023-04-04,2023-04-10,1
20230328,27153,Todd County,MN,82.15,17.85,0.00,0.00,0.00,0.00,2023-03-28,2023-04-03,1
20230321,27153,Todd County,MN,82.15,17.85,0.00,0.00,0.00,0.00,2023-03-21,2023-03-27,1
20230314,27153,Todd County,MN,82.15,17.85,0.00,0.00,0.00,0.00,2023-03-14,2023-03-20,1
20230307,27153,Todd County,MN,82.15,17.85,2.15,0.00,0.00,0.00,2023-03-07,2023-03-13,1
20230228,27153,Todd County,MN,82.15,17.85,2.15,0.00,0.00,0.00,2023-02-28,2023-03-06,1
20230221,27153,Todd County,MN,82.15,17.85,2.15,0.00,0.00,0.00,2023-02-21,2023-02-27,1
20230214,27153,Todd County,MN,79.31,20.69,2.15,0.00,0.00,0.00,2023-02-14,2023-02-20,1
