MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20241231,40057,Harmon County,OK,66.01,33.99,0.00,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20241224,40057,Harmon County,OK,65.54,34.46,0.00,0.00,0.00,0.00,2024-12-24,2024-12-30,1
20241217,40057,Harmon County,OK,65.54,34.46,0.00,0.00,0.00,0.00,2024-12-17,2024-12-23,1
20241210,40057,Harmon County,OK,64.22,35.78,0.00,0.00,0.00,0.00,2024-12-10,2024-12-16,1
20241203,40057,Harmon County,OK,64.22,35.78,0.00,0.00,0.00,0.00,2024-12-03,2024-12-09,1
20241126,40057,Harmon County,OK,64.22,35.78,0.00,0.00,0.00,0.00,2024-11-26,2024-12-02,1
20241119,40057,Harmon County,OK,0.00,100.00,0.00,0.00,0.00,0.00,2024-11-19,2024-11-25,1
20241112,40057,Harmon County,OK,0.00,100.00,100.00,0.00,0.00,0.00,2024-11-12,2024-11-18,1
20241105,40057,Harmon County,OK,0.00,100.00,100.00,100.00,0.00,0.00,2024-11-05,2024-11-11,1
20241029,40057,Harmon County,OK,0.00,100.00,100.00,100.00,100.00,0.00,2024-10-29,2024-11-04,1
20241022,40057,Harmon County,OK,0.00,100.00,100.00,100.00,100.00,0.00,2024-10-22,2024-10-28,1
20241015,40057,Harmon County,OK,0.00,100.00,100.00,100.00,100.00,0.00,2024-10-15,2024-10-21,1
20241008,40057,Harmon County,OK,0.00,100.00,100.00,100.00,91.02,0.00,2024-10-08,2024-10-14,1
20241001,40057,Harmon County,OK,0.00,100.00,100.00,100.00,91.02,0.00,2024-10-01,2024-10-07,1
20240924,40057,Harmon County,OK,0.00,100.00,100.00,98.19,64.20,0.00,2024-09-24,2024-09-30,1
20240917,40057,Harmon County,OK,0.00,100.00,100.00,98.19,62.99,0.00,2024-09-17,2024-09-23,1
20240910,40057,Harmon County,OK,0.00,100.00,100.00,96.08,62.99,0.00,2024-09-10,2024-09-16,1
20240903,40057,Harmon County,OK,0.00,100.00,100.00,96.08,62.99,0.00,2024-09-03,2024-09-09,1
20240827,40057,Harmon County,OK,0.00,100.00,100.00,96.08,62.64,0.00,2024-08-27,2024-09-02,1
20240820,40057,Harmon County,OK,0.00,100.00,100.00,73.39,0.00,0.00,2024-08-20,2024-08-26,1
20240813,40057,Harmon County,OK,0.00,100.00,96.99,73.39,0.00,0.00,2024-08-13,2024-08-19,1
20240806,40057,Harmon County,OK,0.00,100.00,96.99,1.39,0.00,0.00,2024-08-06,2024-08-12,1
20240730,40057,Harmon County,OK,0.00,100.00,91.57,0.00,0.00,0.00,2024-07-30,2024-08-05,1
20240723,40057,Harmon County,OK,0.00,100.00,10.41,0.00,0.00,0.00,2024-07-23,2024-07-29,1
20240716,40057,Harmon County,OK,0.00,100.00,10.41,0.00,0.00,0.00,2024-07-16,2024-07-22,1
20240709,40057,Harmon County,OK,0.00,100.00,10.41,0.00,0.00,0.00,2024-07-09,2024-07-15,1
20240702,40057,Harmon County,OK,0.00,100.00,10.41,0.00,0.00,0.00,2024-07-02,2024-07-08,1
20240625,40057,Harmon County,OK,21.16,78.84,0.00,0.00,0.00,0.00,2024-06-25,2024-07-01,1
20240618,40057,Harmon County,OK,21.16,78.84,0.00,0.00,0.00,0.00,2024-06-18,2024-06-24,1
20240611,40057,Harmon County,OK,83.88,16.12,0.00,0.00,0.00,0.00,2024-06-11,2024-06-17,1
20240604,40057,Harmon County,OK,83.93,16.07,0.00,0.00,0.00,0.00,2024-06-04,2024-06-10,1
20240528,40057,Harmon County,OK,0.00,100.00,0.00,0.00,0.00,0.00,2024-05-28,2024-06-03,1
20240521,40057,Harmon County,OK,0.00,100.00,0.00,0.00,0.00,0.00,2024-05-21,2024-05-27,1
20240514,40057,Harmon County,OK,1.23,98.77,0.00,0.00,0.00,0.00,2024-05-14,2024-05-20,1
20240507,40057,Harmon County,OK,6.56,93.44,0.00,0.00,0.00,0.00,2024-05-07,2024-05-13,1
20240430,40057,Harmon County,OK,6.56,93.44,0.00,0.00,0.00,0.00,2024-04-30,2024-05-06,1
20240423,40057,Harmon County,OK,6.56,93.44,0.00,0.00,0.00,0.00,2024-04-23,2024-04-29,1
20240416,40057,Harmon County,OK,6.96,93.04,0.00,0.00,0.00,0.00,2024-04-16,2024-04-22,1
20240409,40057,Harmon County,OK,7.23,92.77,0.00,0.00,0.00,0.00,2024-04-09,2024-04-15,1
20240402,40057,Harmon County,OK,7.23,92.77,0.00,0.00,0.00,0.00,2024-04-02,2024-04-08,1
20240326,40057,Harmon County,OK,5.56,94.44,0.00,0.00,0.00,0.00,2024-03-26,2024-04-01,1
20240319,40057,Harmon County,OK,5.56,94.44,0.00,0.00,0.00,0.00,2024-03-19,2024-03-25,1
20240312,40057,Harmon County,OK,5.56,94.44,0.00,0.00,0.00,0.00,2024-03-12,2024-03-18,1
20240305,40057,Harmon County,OK,5.56,94.44,0.00,0.00,0.00,0.00,2024-03-05,2024-03-11,1
20240227,40057,Harmon County,OK,5.56,94.44,0.00,0.00,0.00,0.00,2024-02-27,2024-03-04,1
20240220,40057,Harmon County,OK,5.56,94.44,0.00,0.00,0.00,0.00,2024-02-20,2024-02-26,1
20240213,40057,Harmon County,OK,5.56,94.44,0.00,0.00,0.00,0.00,2024-02-13,2024-02-19,1
20240206,40057,Harmon County,OK,5.56,94.44,0.00,0.00,0.00,0.00,2024-02-06,2024-02-12,1
20240130,40057,Harmon County,OK,5.56,94.44,0.00,0.00,0.00,0.00,2024-01-30,2024-02-05,1
20240123,40057,Harmon County,OK,0.00,100.00,75.11,0.00,0.00,0.00,2024-01-23,2024-01-29,1
20240116,40057,Harmon County,OK,0.00,100.00,75.11,0.00,0.00,0.00,2024-01-16,2024-01-22,1
20240109,40057,Harmon County,OK,0.00,100.00,75.11,0.00,0.00,0.00,2024-01-09,2024-01-15,1
20240102,40057,Harmon County,OK,0.00,100.00,100.00,75.11,0.00,0.00,2024-01-02,2024-01-08,1
20231226,40057,Harmon County,OK,0.00,100.00,100.00,75.11,0.00,0.00,2023-12-26,2024-01-01,1
20231219,40057,Harmon County,OK,0.00,100.00,100.00,75.11,0.00,0.00,2023-12-19,2023-12-25,1
20231212,40057,Harmon County,OK,0.00,100.00,100.00,100.00,75.00,0.00,2023-12-12,2023-12-18,1
20231205,40057,Harmon County,OK,0.00,100.00,100.00,100.00,75.00,0.00,2023-12-05,2023-12-11,1
20231128,40057,Harmon County,OK,0.00,100.00,100.00,100.00,75.00,0.00,2023-11-28,2023-12-04,1
20231121,40057,Harmon County,OK,0.00,100.00,100.00,100.00,75.00,0.00,2023-11-21,2023-11-27,1
20231114,40057,Harmon County,OK,0.00,100.00,100.00,100.00,75.00,0.00,2023-11-14,2023-11-20,1
20231107,40057,Harmon County,OK,0.00,100.00,100.00,100.00,75.00,0.00,2023-11-07,2023-11-13,1
20231031,40057,Harmon County,OK,0.00,100.00,100.00,100.00,75.00,0.00,2023-10-31,2023-11-06,1
20231024,40057,Harmon County,OK,0.00,100.00,100.00,100.00,92.95,0.00,2023-10-24,2023-10-30,1
