MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20241231,46102,Oglala Lakota County,SD,0.00,100.00,100.00,100.00,13.59,0.00,2024-12-31,2025-01-06,1
20241224,46102,Oglala Lakota County,SD,0.00,100.00,100.00,100.00,11.94,0.00,2024-12-24,2024-12-30,1
20241217,46102,Oglala Lakota County,SD,0.00,100.00,100.00,100.00,11.94,0.00,2024-12-17,2024-12-23,1
20241210,46102,Oglala Lakota County,SD,0.00,100.00,100.00,100.00,11.94,0.00,2024-12-10,2024-12-16,1
20241203,46102,Oglala Lakota County,SD,0.00,100.00,100.00,100.00,11.94,0.00,2024-12-03,2024-12-09,1
20241126,46102,Oglala Lakota County,SD,0.00,100.00,100.00,100.00,11.94,0.00,2024-11-26,2024-12-02,1
20241119,46102,Oglala Lakota County,SD,0.00,100.00,100.00,100.00,11.94,0.00,2024-11-19,2024-11-25,1
20241112,46102,Oglala Lakota County,SD,0.00,100.00,100.00,100.00,11.94,0.00,2024-11-12,2024-11-18,1
20241105,46102,Oglala Lakota County,SD,0.00,100.00,100.00,100.00,11.94,0.00,2024-11-05,2024-11-11,1
20241029,46102,Oglala Lakota County,SD,0.00,100.00,100.00,100.00,11.94,0.00,2024-10-29,2024-11-04,1
20241022,46102,Oglala Lakota County,SD,0.00,100.00,100.00,100.00,0.00,0.00,2024-10-22,2024-10-28,1
20241015,46102,Oglala Lakota County,SD,0.00,100.00,100.00,100.00,0.00,0.00,2024-10-15,2024-10-21,1
20241008,46102,Oglala Lakota County,SD,0.00,100.00,100.00,89.13,0.00,0.00,2024-10-08,2024-10-14,1
20241001,46102,Oglala Lakota County,SD,0.00,100.00,100.00,24.29,0.00,0.00,2024-10-01,2024-10-07,1
20240924,46102,Oglala Lakota County,SD,0.00,100.00,100.00,24.29,0.00,0.00,2024-09-24,2024-09-30,1
20240917,46102,Oglala Lakota County,SD,0.00,100.00,100.00,24.29,0.00,0.00,2024-09-17,2024-09-23,1
20240910,46102,Oglala Lakota County,SD,0.00,100.00,100.00,17.45,0.00,0.00,2024-09-10,2024-09-16,1
20240903,46102,Oglala Lakota County,SD,0.00,100.00,100.00,17.45,0.00,0.00,2024-09-03,2024-09-09,1
20240827,46102,Oglala Lakota County,SD,0.00,100.00,87.85,4.14,0.00,0.00,2024-08-27,2024-09-02,1
20240820,46102,Oglala Lakota County,SD,0.00,100.00,87.85,4.14,0.00,0.00,2024-08-20,2024-08-26,1
20240813,46102,Oglala Lakota County,SD,0.00,100.00,86.55,4.14,0.00,0.00,2024-08-13,2024-08-19,1
20240806,46102,Oglala Lakota County,SD,0.00,100.00,86.55,4.14,0.00,0.00,2024-08-06,2024-08-12,1
20240730,46102,Oglala Lakota County,SD,4.81,95.19,29.97,0.00,0.00,0.00,2024-07-30,2024-08-05,1
20240723,46102,Oglala Lakota County,SD,13.17,86.83,29.97,0.00,0.00,0.00,2024-07-23,2024-07-29,1
20240716,46102,Oglala Lakota County,SD,13.17,86.83,2.81,0.00,0.00,0.00,2024-07-16,2024-07-22,1
